instruction,opcode,relative,format,num_fields
add,100000,0,R,3
addi,100001,0,I,3
sub,100010,0,R,3
and,100100,0,R,3
andi,100101,0,I,3
nand,100011,0,R,3
xor,101000,0,R,3
or,101010,0,R,3
sll,100111,0,R,3
srl,100110,0,R,3
beq,000000,1,J,1
bne,000001,1,J,1
blt,000010,1,J,1
jr,000110,0,I,1
b,000011,1,J,1
call,000100,0,J,1
ret,000101,0,J,0
lw,001000,0,I,3
li,001001,0,I,2
pop,001010,0,I,1
push,001110,0,I,1
sw,001100,0,I,3
srm,010001,0,S_REMV,1
ssl,010010,0,S,2
sld,010011,0,S,2
sft,010100,0,S,2
sbt,010101,0,S,2
sfa,010110,0,S,2
sba,010111,0,S,2
nop,111111,0,R,0
